word,zipf_frequency
cetin,1.6100
cetus,2.0100
chads,1.9800
chafe,2.4000
chaft,0.0000
chain,4.6500
chair,4.6900
chais,1.4100
chays,0.0000
chait,1.9800
chalk,3.6900
champ,3.9000
chams,1.4300
chane,1.8300
chang,3.7300
chank,1.3500
chant,3.6000
chaos,4.2700
chape,1.4100
chaps,3.1200
chapt,1.4700
chard,2.7100
chare,1.3800
chary,1.6400
chark,1.3800
charm,4.1200
chars,2.5000
chart,4.4700
chase,4.4400
chasm,2.9600
chati,0.0000
chats,3.3700
chaui,0.0000
chauk,1.1700
chaum,1.1900
chaus,1.0200
chave,1.4100
chawk,1.0500
chawl,1.3000
chawn,0.0000
chaws,0.0000
chazy,1.6100
cheap,4.7100
cheat,4.0600
chefs,3.6400
chego,0.0000
cheir,0.0000
cheka,1.8500
cheki,0.0000
chela,1.9800
chelp,0.0000
chena,1.6600
cheng,3.3700
chera,1.4600
chert,2.2600
chest,4.5200
chevy,3.5300
chewy,2.9400
chews,2.7800
chyak,0.0000
chiam,1.2000
chian,1.8900
chiao,2.1500
chias,0.0000
chiba,2.6400
chide,2.1800
chief,5.1100
chiel,1.1200
chien,2.7600
child,5.3000
chile,4.0600
chyle,1.4000
chimb,0.0000
chime,3.1400
chyme,1.3400
chimp,2.9500
chimu,1.4100
china,5.1000
chine,2.5200
ching,3.3700
chink,2.6100
chino,3.0200
chins,2.6900
chint,0.0000
chiot,0.0000
chips,4.2100
chirk,1.8100
chirl,0.0000
chirm,0.0000
chiro,2.0300
chirp,2.7900
chirt,0.0000
chiru,1.6600
chita,2.0000
chits,1.8600
chive,2.2100
chivy,0.0000
chivw,0.0000
chloe,3.7500
chlor,1.6300
choak,0.0000
